Subject,Condition,Time,FAA
VPEEG_SB_87_20240430_1254_csd,FrTT,-1000 to 0,-0.05989641
VPEEG_SB_87_20240430_1254_csd,FrTT,0 to 1000,-0.050423288
VPEEG_SB_87_20240430_1254_csd,EnTT,-1000 to 0,-0.064124813
VPEEG_SB_87_20240430_1254_csd,EnTT,0 to 1000,-0.063834271
VPEEG_SB_92_20240514_1145_csd,FrTT,-1000 to 0,0.016917755
VPEEG_SB_92_20240514_1145_csd,FrTT,0 to 1000,0.006244715
VPEEG_SB_92_20240514_1145_csd,EnTT,-1000 to 0,0.016818136
VPEEG_SB_92_20240514_1145_csd,EnTT,0 to 1000,0.016913958
VPEEG_SB_97_20240523_1217_csd,FrTT,-1000 to 0,-0.012536547
VPEEG_SB_97_20240523_1217_csd,FrTT,0 to 1000,-0.030609925
VPEEG_SB_97_20240523_1217_csd,EnTT,-1000 to 0,-0.021421576
VPEEG_SB_97_20240523_1217_csd,EnTT,0 to 1000,-0.015289688
VPEEG_SB_98_20240523_1417_csd,FrTT,-1000 to 0,0.010094564
VPEEG_SB_98_20240523_1417_csd,FrTT,0 to 1000,0.007468722
VPEEG_SB_98_20240523_1417_csd,EnTT,-1000 to 0,0.010365949
VPEEG_SB_98_20240523_1417_csd,EnTT,0 to 1000,0.012560976
VPEEG_SB_99_20240525_1017_csd,FrTT,-1000 to 0,-0.005844974
VPEEG_SB_99_20240525_1017_csd,FrTT,0 to 1000,-0.020603392
VPEEG_SB_99_20240525_1017_csd,EnTT,-1000 to 0,0.003151792
VPEEG_SB_99_20240525_1017_csd,EnTT,0 to 1000,-0.023573995
